[2026-03-08 12:43:10,035: INFO: main: welcome to our custom log]
[2026-03-08 16:08:30,088: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-08 16:08:30,093: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-08 16:16:20,216: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-08 16:16:20,222: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-08 16:56:51,615: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-08 17:01:04,655: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-08 17:17:18,334: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-08 17:17:18,346: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-08 17:17:18,351: INFO: common: created directory at: artifacts]
[2026-03-08 17:17:49,850: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-08 17:17:49,855: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-08 17:17:49,867: INFO: common: created directory at: artifacts]
[2026-03-08 17:17:49,872: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-08 17:17:49,877: INFO: 2995476033: Downloading data from https://drive.google.com/file/d/1ahSQ0vxaMIlYqzwrb_fkfLvJeOSjqa0L/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-08 17:18:09,123: INFO: 2995476033: Downloaded data from https://drive.google.com/file/d/1ahSQ0vxaMIlYqzwrb_fkfLvJeOSjqa0L/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-13 17:16:31,001: INFO: main: welcome to our custom log]
[2026-03-13 17:20:25,941: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-13 17:20:25,951: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-13 17:20:25,956: INFO: common: created directory at: artifacts]
[2026-03-13 17:20:25,959: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-13 17:20:25,959: INFO: 2995476033: Downloading data from https://drive.google.com/file/d/1ahSQ0vxaMIlYqzwrb_fkfLvJeOSjqa0L/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-13 17:21:43,829: INFO: 2995476033: Downloaded data from https://drive.google.com/file/d/1ahSQ0vxaMIlYqzwrb_fkfLvJeOSjqa0L/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-14 15:14:53,818: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-14 15:14:54,129: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-14 15:14:54,138: INFO: common: created directory at: artifacts]
[2026-03-14 15:14:54,138: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-14 15:14:54,138: INFO: 2995476033: Downloading data from https://drive.google.com/file/d/1ahSQ0vxaMIlYqzwrb_fkfLvJeOSjqa0L/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-14 15:15:15,930: INFO: 2995476033: Downloaded data from https://drive.google.com/file/d/1ahSQ0vxaMIlYqzwrb_fkfLvJeOSjqa0L/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-14 18:05:00,929: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-03-14 18:05:00,944: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-14 18:05:00,953: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-14 18:05:01,008: INFO: common: created directory at: artifacts]
[2026-03-14 18:05:01,010: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-14 18:05:01,010: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1ahSQ0vxaMIlYqzwrb_fkfLvJeOSjqa0L/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-14 18:05:21,860: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1ahSQ0vxaMIlYqzwrb_fkfLvJeOSjqa0L/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-14 18:05:27,549: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
